Kp,Ki,Kd,Overshoot,Settling Time,Final Error,Cost
5,1.0,0.5,4.15425553844679,0.8686868686868687,-4.123970157509021,9.14691256464268
5,1.0,0.6,4.378603152907061,0.9090909090909092,-4.372775237395075,9.660469299393046
5,1.0,0.7,4.598544820738638,0.9494949494949496,-4.598544820738638,10.146584590972227
5,1.2,0.5,4.824396566546966,0.8282828282828284,-4.731396940266777,10.384076335096571
5,1.2,0.6,5.078942875253745,0.8686868686868687,-5.036004860898046,10.98363460483866
5,1.2,0.7,5.328529128062428,0.9090909090909092,-5.317955781965239,11.555575819118577
5,1.5,0.5,5.767583403693607,0.787878787878788,-5.5129526208474005,12.068414812419796
5,1.5,0.6,6.061839005952066,0.8282828282828284,-5.896901623517266,12.787023457752161
5,1.5,0.7,6.350003994349407,0.8686868686868687,-6.259439440493807,13.478130303530083
6,1.0,0.5,3.0518919017416124,0.787878787878788,-2.9825620061072584,6.822332695727659
6,1.0,0.6,3.223494445069562,0.8282828282828284,-3.1833918526444904,7.235169125996881
6,1.0,0.7,3.3927376543450265,0.8686868686868687,-3.375473638583145,7.63689816161504
6,1.2,0.5,3.565529700219315,0.7474747474747475,-3.4274026703873517,7.740407118081414
6,1.2,0.6,3.7619325246641893,0.787878787878788,-3.6669558299969793,8.216767142539958
6,1.2,0.7,3.955315842965419,0.8282828282828284,-3.898405989595105,8.682004660843353
6,1.5,0.5,4.296286514006752,0.7070707070707072,-4.008894624242885,9.012251845320344
6,1.5,0.6,4.526373872595002,0.7474747474747475,-4.302977234672468,9.576825854742218
6,1.5,0.7,4.7525622638194704,0.787878787878788,-4.590298990917006,10.130740042615265
7,1.0,0.5,2.3318298495611174,0.7070707070707072,-2.2469445759105895,5.2858451325424145
7,1.0,0.6,2.466795511044751,0.7474747474747475,-2.40398532358266,5.618255582102158
7,1.0,0.7,2.60014018756398,0.787878787878788,-2.5582087251321184,5.9462277005748865
7,1.2,0.5,2.7362684186200994,0.686868686868687,-2.5894293218238715,6.012566427312658
7,1.2,0.6,2.891893301999872,0.7272727272727273,-2.7747414967255537,6.393907525998153
7,1.2,0.7,3.045485540572514,0.7676767676767677,-2.9577798722272775,6.77094218047656
7,1.5,0.5,3.3164663339290144,0.6464646464646465,-3.043634081526008,7.0065650619196695
7,1.5,0.6,3.500652771308495,0.686868686868687,-3.2685895386674844,7.456110996844666
7,1.5,0.7,3.6819201262569123,0.7272727272727273,-3.492298204899825,7.901491058429465
