Total Time,Num Steps,Method,Overshoot,Settling Time,Final Error
1,50,Linear,0.0,1.0,0.0
1,50,Cubic,0.0,0.9387755102040816,0.0
1,100,Linear,0.0,0.98989898989899,0.0
1,100,Cubic,0.0,0.9393939393939394,0.0
1,200,Linear,0.0,0.9899497487437187,0.0
1,200,Cubic,0.0,0.9396984924623115,0.0
2,50,Linear,0.0,2.0,0.0
2,50,Cubic,0.0,1.8775510204081631,0.0
2,100,Linear,0.0,1.97979797979798,0.0
2,100,Cubic,0.0,1.878787878787879,0.0
2,200,Linear,0.0,1.9798994974874373,0.0
2,200,Cubic,0.0,1.879396984924623,0.0
3,50,Linear,0.0,3.0,0.0
3,50,Cubic,0.0,2.816326530612245,0.0
3,100,Linear,0.0,2.9696969696969697,0.0
3,100,Cubic,0.0,2.8181818181818183,0.0
3,200,Linear,0.0,2.969849246231156,0.0
3,200,Cubic,0.0,2.8190954773869343,0.0
